"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Joshua_Ubeku: The Saudi Arabia team that beat Argentina are last on the table and knocked out of the World Cup while Argentina that los…",FALSE,0,NA,2022-12-01 05:43:41,FALSE,NA,"1598191082210484225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndrewDompreh",853,TRUE,FALSE,NA,NA
"RT @prophilani: Argentina played very well. But my 🐐 would never... @WithMrFootball https://t.co/0WZUldQrr0",FALSE,0,NA,2022-12-01 05:43:41,FALSE,NA,"1598191081895575553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Langa_SotholeM",8,TRUE,FALSE,NA,NA
"RT @goal: ARGENTINA ARE THROUGH TO THE KNOCKOUT STAGES 🇦🇷 https://t.co/FFDUJuoiDx",FALSE,0,NA,2022-12-01 05:43:39,FALSE,NA,"1598191072785870854",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","apdalaaxmed",3215,TRUE,FALSE,NA,NA
"RT @Socceroos: 🔢📊📈 The numbers don't lie! 

🔎 A statistical look after our successful progression from Group D to the knockout phase and a…",FALSE,0,NA,2022-12-01 05:43:37,FALSE,NA,"1598191063269007360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnnaKin70426729",17,TRUE,FALSE,NA,NA
"RT @Camaverde_: Argentina after having the easiest WC group will face Australia in the R16 😭",FALSE,0,NA,2022-12-01 05:43:36,FALSE,NA,"1598191062220042243",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GGBL00DS",52,TRUE,FALSE,NA,NA
"RT @FIFAWorldCup: 🙌 See you both in the Round of 16! 🫶

@Argentina | @LaczyNasPilka | #FIFAWorldCup https://t.co/iu1vuwkH75",FALSE,0,NA,2022-12-01 05:43:35,FALSE,NA,"1598191057224990721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThalaKhan01",1145,TRUE,FALSE,NA,NA
"RT @Letter_to_Jack: Argentina topping the group makes their pathway to the World Cup final easier. 

Poland have destroyed the world order.",FALSE,0,NA,2022-12-01 05:43:35,FALSE,NA,"1598191056453091329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","malikolakuleyin",252,TRUE,FALSE,NA,NA
"RT @19Alvarez_: Scored on his 1st start in Argentina 🇦🇷
Scored on his 1st start in the PL 🏴󠁧󠁢󠁥󠁮󠁧󠁿
Scored on his 1st start in UCL 🌍
Scored o…",FALSE,0,NA,2022-12-01 05:43:33,FALSE,NA,"1598191047376785408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jones_Malvin",410,TRUE,FALSE,NA,NA
"RT @ARG_soccernews: Argentina flags 🇦🇷 flying high on the most rooftops of Bangladesh 🇧🇩. @Argentina must win against Mexico, at least, for…",FALSE,0,NA,2022-12-01 05:43:32,FALSE,NA,"1598191043966828546",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","yoongifem",3789,TRUE,FALSE,NA,NA
"RT @FabrizioRomano: #Qatar2022 🚨📑⤵️

▫️ Netherlands-USA

▫️ Argentina-Australia 

▫️ France-Poland

▫️ England-Senegal",FALSE,0,NA,2022-12-01 05:43:31,FALSE,NA,"1598191038098591744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RealMaaino",5849,TRUE,FALSE,NA,NA
"@CaptainMj233 Edey pain you 😂 Argentina are through to the round of 16 and meeting Australia",FALSE,0,"CaptainMj233",2022-12-01 05:43:30,FALSE,"1598039443944124417","1598191035985059840","1066775228280446977","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sinala60",0,FALSE,FALSE,NA,NA
"RT @FIFAWorldCup: The Argentina dream lives on 🇦🇷

#FIFAWorldCup #Qatar2022 https://t.co/j1bcuTv70H",FALSE,0,NA,2022-12-01 05:43:29,FALSE,NA,"1598191033401376768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhayaKing9",1401,TRUE,FALSE,NA,NA
"RT @brfootball: Argentina initiate phase two at the World Cup 🇦🇷 https://t.co/Iy0hAkHkEb",FALSE,0,NA,2022-12-01 05:43:28,FALSE,NA,"1598191029068648448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MRAnonymousZA",2607,TRUE,FALSE,NA,NA
